Strain Name	Virus Species	GenBank Accession	Sequence Length	Collection Date	Host	GenBank Host	Country	Mol Type
KNHI-2K72143	Human coronavirus HKU1	JN234485	413	02/2007	Human	Homo sapiens	South Korea	genomic RNA	
KNHI-2K72583	Human coronavirus HKU1	JN234486	413	02/2007	Human	Homo sapiens	South Korea	genomic RNA	
KNHI-2K73103	Human coronavirus HKU1	JN234487	425	03/2007	Human	Homo sapiens	South Korea	genomic RNA	
KNHI-2K73565	Human coronavirus HKU1	JN234488	413	05/2007	Human	Homo sapiens	South Korea	genomic RNA	
KNHI-2K74559	Human coronavirus HKU1	JN234489	422	01/2008	Human	Homo sapiens	South Korea	genomic RNA	
KNHI-2K80535	Human coronavirus HKU1	JN234490	413	03/2008	Human	Homo sapiens	South Korea	genomic RNA	
KNHI-2K82882	Human coronavirus HKU1	JN234491	413	03/2008	Human	Homo sapiens	South Korea	genomic RNA	
KNHI-2K83058	Human coronavirus HKU1	JN234492	413	04/2008	Human	Homo sapiens	South Korea	genomic RNA	
KNHI-2K84566	Human coronavirus HKU1	JN234493	413	04/2008	Human	Homo sapiens	South Korea	genomic RNA	
KNHI-2K85187	Human coronavirus HKU1	JN234494	413	04/2008	Human	Homo sapiens	South Korea	genomic RNA	
KNHI-2K85295	Human coronavirus HKU1	JN234495	413	05/2008	Human	Homo sapiens	South Korea	genomic RNA	
KNHI-2K85305	Human coronavirus HKU1	JN234496	413	05/2008	Human	Homo sapiens	South Korea	genomic RNA	
KNIH-2K70196	Human coronavirus HKU1	JN234449	897	01/2007	Human	Homo sapiens	South Korea	genomic RNA	
KNIH-2K70196	Human coronavirus HKU1	JN234465	309	01/2007	Human	Homo sapiens	South Korea	genomic RNA	
KNIH-2K70198	Human coronavirus HKU1	JN234450	897	01/2007	Human	Homo sapiens	South Korea	genomic RNA	
KNIH-2K70198	Human coronavirus HKU1	JN234466	309	01/2007	Human	Homo sapiens	South Korea	genomic RNA	
KNIH-2K70536	Human coronavirus HKU1	JN234451	897	01/2007	Human	Homo sapiens	South Korea	genomic RNA	
KNIH-2K71038	Human coronavirus HKU1	JN234467	309	01/2007	Human	Homo sapiens	South Korea	genomic RNA	
KNIH-2K71388	Human coronavirus HKU1	JN234452	897	01/2007	Human	Homo sapiens	South Korea	genomic RNA	
KNIH-2K71411	Human coronavirus HKU1	JN234453	897	01/2007	Human	Homo sapiens	South Korea	genomic RNA	
KNIH-2K71411	Human coronavirus HKU1	JN234468	309	01/2007	Human	Homo sapiens	South Korea	genomic RNA	
KNIH-2K71415	Human coronavirus HKU1	JN234454	897	01/2007	Human	Homo sapiens	South Korea	genomic RNA	
KNIH-2K71415	Human coronavirus HKU1	JN234469	309	01/2007	Human	Homo sapiens	South Korea	genomic RNA	
KNIH-2K72142	Human coronavirus HKU1	JN234455	897	02/2007	Human	Homo sapiens	South Korea	genomic RNA	
KNIH-2K72142	Human coronavirus HKU1	JN234470	309	02/2007	Human	Homo sapiens	South Korea	genomic RNA	
KNIH-2K73103	Human coronavirus HKU1	JN234456	897	03/2007	Human	Homo sapiens	South Korea	genomic RNA	
KNIH-2K73103	Human coronavirus HKU1	JN234471	309	03/2007	Human	Homo sapiens	South Korea	genomic RNA	
KNIH-2K73164	Human coronavirus HKU1	JN234457	897	04/2007	Human	Homo sapiens	South Korea	genomic RNA	
KNIH-2K73164	Human coronavirus HKU1	JN234472	401	04/2007	Human	Homo sapiens	South Korea	genomic RNA	
KNIH-2K80535	Human coronavirus HKU1	JN234458	897	01/2008	Human	Homo sapiens	South Korea	genomic RNA	
KNIH-2K80535	Human coronavirus HKU1	JN234473	309	01/2008	Human	Homo sapiens	South Korea	genomic RNA	
KNIH-2K82882	Human coronavirus HKU1	JN234459	897	03/2008	Human	Homo sapiens	South Korea	genomic RNA	
KNIH-2K82882	Human coronavirus HKU1	JN234474	309	03/2008	Human	Homo sapiens	South Korea	genomic RNA	
KNIH-2K84559	Human coronavirus HKU1	JN234460	897	04/2008	Human	Homo sapiens	South Korea	genomic RNA	
KNIH-2K84559	Human coronavirus HKU1	JN234475	309	04/2008	Human	Homo sapiens	South Korea	genomic RNA	
KNIH-2K84566	Human coronavirus HKU1	JN234461	897	04/2008	Human	Homo sapiens	South Korea	genomic RNA	
KNIH-2K84566	Human coronavirus HKU1	JN234476	309	04/2008	Human	Homo sapiens	South Korea	genomic RNA	
KNIH-2K85187	Human coronavirus HKU1	JN234462	897	04/2008	Human	Homo sapiens	South Korea	genomic RNA	
KNIH-2K85187	Human coronavirus HKU1	JN234477	309	04/2008	Human	Homo sapiens	South Korea	genomic RNA	
KNIH-2K85295	Human coronavirus HKU1	JN234463	897	05/2008	Human	Homo sapiens	South Korea	genomic RNA	
KNIH-2K85305	Human coronavirus HKU1	JN234464	897	05/2008	Human	Homo sapiens	South Korea	genomic RNA	
LZ112	Human coronavirus HKU1	FJ937643	455	-N/A-	Human	Homo sapiens	China	genomic RNA	
LZ134	Human coronavirus HKU1	FJ937644	455	-N/A-	Human	Homo sapiens	China	genomic RNA	
LZ20	Human coronavirus HKU1	FJ937641	457	-N/A-	Human	Homo sapiens	China	genomic RNA	
LZ387	Human coronavirus HKU1	FJ937645	455	-N/A-	Human	Homo sapiens	China	genomic RNA	
LZ391	Human coronavirus HKU1	FJ937646	455	-N/A-	Human	Homo sapiens	China	genomic RNA	
LZ393	Human coronavirus HKU1	FJ937647	455	-N/A-	Human	Homo sapiens	China	genomic RNA	
LZ394	Human coronavirus HKU1	FJ937648	455	-N/A-	Human	Homo sapiens	China	genomic RNA	
LZ42	Human coronavirus HKU1	FJ937642	455	-N/A-	Human	Homo sapiens	China	genomic RNA	
LZ431	Human coronavirus HKU1	FJ937649	455	-N/A-	Human	Homo sapiens	China	genomic RNA	
LZ437	Human coronavirus HKU1	FJ937650	455	-N/A-	Human	Homo sapiens	China	genomic RNA	
LZ439	Human coronavirus HKU1	FJ937651	455	-N/A-	Human	Homo sapiens	China	genomic RNA	
LZ441	Human coronavirus HKU1	FJ937652	455	-N/A-	Human	Homo sapiens	China	genomic RNA	
LZ442	Human coronavirus HKU1	FJ937653	455	-N/A-	Human	Homo sapiens	China	genomic RNA	
LZ446	Human coronavirus HKU1	FJ937654	455	-N/A-	Human	Homo sapiens	China	genomic RNA	
LZ447	Human coronavirus HKU1	FJ937655	455	-N/A-	Human	Homo sapiens	China	genomic RNA	
LZ448	Human coronavirus HKU1	FJ937656	455	-N/A-	Human	Homo sapiens	China	genomic RNA	
LZ450	Human coronavirus HKU1	FJ937657	455	-N/A-	Human	Homo sapiens	China	genomic RNA	
LZ451	Human coronavirus HKU1	FJ937658	455	-N/A-	Human	Homo sapiens	China	genomic RNA	
LZ487	Human coronavirus HKU1	FJ937659	455	-N/A-	Human	Homo sapiens	China	genomic RNA	
N08-87	Human coronavirus HKU1	KY674921	29820	2016	Human	Homo sapiens	USA	genomic RNA	
N09-1605B	Human coronavirus HKU1	KY674943	29908	2016	Human	Homo sapiens	USA	genomic RNA	
N09-1627B	Human coronavirus HKU1	KY674942	29893	2016	Human	Homo sapiens	USA	genomic RNA	
N09-1663B	Human coronavirus HKU1	KY674941	29367	2016	Human	Homo sapiens	USA	genomic RNA	
N10	Human coronavirus HKU1	DQ415907	29887	-N/A-	Unknown	-N/A-	China	genomic RNA	
N11	Human coronavirus HKU1	DQ415908	29947	-N/A-	Unknown	-N/A-	China	genomic RNA	
N11	Human coronavirus HKU1	DQ422728	2783	-N/A-	Unknown	-N/A-	China	genomic RNA	
N11	Human coronavirus HKU1	DQ437607	4071	-N/A-	Unknown	-N/A-	Hong Kong	genomic RNA	
N11	Human coronavirus HKU1	DQ437620	1326	-N/A-	Unknown	-N/A-	Hong Kong	genomic RNA	
N13	Human coronavirus HKU1	DQ415909	29767	-N/A-	Unknown	-N/A-	China	genomic RNA	
N13	Human coronavirus HKU1	DQ422729	2783	-N/A-	Unknown	-N/A-	China	genomic RNA	
N13	Human coronavirus HKU1	DQ437608	4071	-N/A-	Unknown	-N/A-	Hong Kong	genomic RNA	
N13	Human coronavirus HKU1	DQ437621	1326	-N/A-	Unknown	-N/A-	Hong Kong	genomic RNA	
N14	Human coronavirus HKU1	DQ415910	29797	-N/A-	Unknown	-N/A-	China	genomic RNA	
N14	Human coronavirus HKU1	DQ422730	2783	-N/A-	Unknown	-N/A-	China	genomic RNA	
N14	Human coronavirus HKU1	DQ437609	4071	-N/A-	Unknown	-N/A-	Hong Kong	genomic RNA	
N14	Human coronavirus HKU1	DQ437622	1326	-N/A-	Unknown	-N/A-	Hong Kong	genomic RNA	
N15	Human coronavirus HKU1	DQ415911	29902	-N/A-	Unknown	-N/A-	China	genomic RNA	
N15	Human coronavirus HKU1	DQ422731	2783	-N/A-	Unknown	-N/A-	China	genomic RNA	
N15	Human coronavirus HKU1	DQ437610	4056	-N/A-	Unknown	-N/A-	Hong Kong	genomic RNA	
N15	Human coronavirus HKU1	DQ437623	1326	-N/A-	Unknown	-N/A-	Hong Kong	genomic RNA	
N16	Human coronavirus HKU1	DQ415912	29845	-N/A-	Unknown	-N/A-	China	genomic RNA	
N16	Human coronavirus HKU1	DQ422732	2783	-N/A-	Unknown	-N/A-	China	genomic RNA	
N16	Human coronavirus HKU1	DQ437611	4056	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
N16	Human coronavirus HKU1	DQ437624	1326	-N/A-	Unknown	-N/A-	Hong Kong	genomic RNA	
N17	Human coronavirus HKU1	DQ415913	29785	-N/A-	Unknown	-N/A-	China	genomic RNA	
N17	Human coronavirus HKU1	DQ422733	2783	-N/A-	Unknown	-N/A-	China	genomic RNA	
N17	Human coronavirus HKU1	DQ437612	4056	-N/A-	Unknown	-N/A-	Hong Kong	genomic RNA	
N17	Human coronavirus HKU1	DQ437625	1326	-N/A-	Unknown	-N/A-	Hong Kong	genomic RNA	
N18	Human coronavirus HKU1	DQ415914	29887	-N/A-	Unknown	-N/A-	China	genomic RNA	
N18	Human coronavirus HKU1	DQ422734	2783	-N/A-	Unknown	-N/A-	China	genomic RNA	
N18	Human coronavirus HKU1	DQ437613	4071	-N/A-	Unknown	-N/A-	Hong Kong	genomic RNA	
N18	Human coronavirus HKU1	DQ437626	1326	-N/A-	Unknown	-N/A-	Hong Kong	genomic RNA	
N19	Human coronavirus HKU1	DQ415896	29860	-N/A-	Unknown	-N/A-	China	genomic RNA	
N19	Human coronavirus HKU1	DQ422735	2783	-N/A-	Unknown	-N/A-	China	genomic RNA	
N19	Human coronavirus HKU1	DQ437614	4071	-N/A-	Unknown	-N/A-	Hong Kong	genomic RNA	
N19	Human coronavirus HKU1	DQ437627	1326	-N/A-	Unknown	-N/A-	Hong Kong	genomic RNA	
N20	Human coronavirus HKU1	DQ415897	29845	-N/A-	Unknown	-N/A-	China	genomic RNA	
N20	Human coronavirus HKU1	DQ422736	2783	-N/A-	Unknown	-N/A-	China	genomic RNA	
N20	Human coronavirus HKU1	DQ437615	4056	-N/A-	Unknown	-N/A-	Hong Kong	genomic RNA	
N20	Human coronavirus HKU1	DQ437628	1326	-N/A-	Unknown	-N/A-	Hong Kong	genomic RNA	
N21	Human coronavirus HKU1	DQ415898	29815	-N/A-	Unknown	-N/A-	China	genomic RNA	
N21	Human coronavirus HKU1	DQ422737	2783	-N/A-	Unknown	-N/A-	China	genomic RNA	
N21	Human coronavirus HKU1	DQ437616	4056	-N/A-	Unknown	-N/A-	Hong Kong	genomic RNA	
N21	Human coronavirus HKU1	DQ437629	1326	-N/A-	Unknown	-N/A-	Hong Kong	genomic RNA	
N22	Human coronavirus HKU1	DQ415899	29905	-N/A-	Unknown	-N/A-	China	genomic RNA	
N22	Human coronavirus HKU1	DQ422738	2783	-N/A-	Unknown	-N/A-	China	genomic RNA	
N22	Human coronavirus HKU1	DQ437617	4056	-N/A-	Unknown	-N/A-	Hong Kong	genomic RNA	
N22	Human coronavirus HKU1	DQ437630	1326	-N/A-	Unknown	-N/A-	Hong Kong	genomic RNA	
N23	Human coronavirus HKU1	DQ415900	29812	-N/A-	Unknown	-N/A-	China	genomic RNA	
N23	Human coronavirus HKU1	DQ422739	2783	-N/A-	Unknown	-N/A-	China	genomic RNA	
N23	Human coronavirus HKU1	DQ437618	4071	-N/A-	Unknown	-N/A-	Hong Kong	genomic RNA	
N23	Human coronavirus HKU1	DQ437631	1326	-N/A-	Unknown	-N/A-	Hong Kong	genomic RNA	
N24	Human coronavirus HKU1	DQ415901	30097	-N/A-	Unknown	-N/A-	China	genomic RNA	
N24	Human coronavirus HKU1	DQ422740	2783	-N/A-	Unknown	-N/A-	China	genomic RNA	
N24	Human coronavirus HKU1	DQ437619	4071	-N/A-	Unknown	-N/A-	Hong Kong	genomic RNA	
N24	Human coronavirus HKU1	DQ437632	1326	-N/A-	Unknown	-N/A-	Hong Kong	genomic RNA	
N25	Human coronavirus HKU1	DQ415902	29845	-N/A-	Unknown	-N/A-	China	genomic RNA	
N3	Human coronavirus HKU1	DQ415903	29920	-N/A-	Unknown	-N/A-	China	genomic RNA	
N5P8	Human coronavirus HKU1	DQ339101	29755	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
N6	Human coronavirus HKU1	DQ415904	29295	-N/A-	Unknown	-N/A-	China	genomic RNA	
N7	Human coronavirus HKU1	DQ415905	29857	-N/A-	Unknown	-N/A-	China	genomic RNA	
N9	Human coronavirus HKU1	DQ415906	29857	-N/A-	Unknown	-N/A-	China	genomic RNA	
NAT004	Human coronavirus HKU1	EF077271	321	11/27/2001	Unknown	-N/A-	-N/A-	genomic RNA	
NAT073	Human coronavirus HKU1	EF077276	298	01/15/2004	Unknown	-N/A-	-N/A-	genomic RNA	
NAT074	Human coronavirus HKU1	EF077277	330	01/16/2004	Unknown	-N/A-	-N/A-	genomic RNA	
PHL07-1518	Human coronavirus HKU1	AB514459	251	2007	Human	Homo sapiens	Philippines	genomic RNA	
PHL07-1656	Human coronavirus HKU1	AB514460	251	2007	Human	Homo sapiens	Philippines	genomic RNA	
PREDICT_13QY028	Human coronavirus HKU1	KX898512	341	2013	Human	Homo sapiens	China	genomic RNA	
PUMCH1946	Human coronavirus HKU1	HM130738	378	03/28/2006	Human	Homo sapiens	China	genomic RNA	
PUMCH2446	Human coronavirus HKU1	HM130739	378	05/27/2006	Human	Homo sapiens	China	genomic RNA	
PUMCH2833	Human coronavirus HKU1	HM130740	378	07/19/2006	Human	Homo sapiens	China	genomic RNA	
PUMCH2967	Human coronavirus HKU1	HM130741	378	07/29/2006	Human	Homo sapiens	China	genomic RNA	
PUMCH2970	Human coronavirus HKU1	HM130742	378	07/29/2006	Human	Homo sapiens	China	genomic RNA	
PUMCH3340	Human coronavirus HKU1	HM130743	378	09/01/2006	Human	Homo sapiens	China	genomic RNA	
PUMCH4252	Human coronavirus HKU1	HM130744	378	12/19/2006	Human	Homo sapiens	China	genomic RNA	
PUMCH4949	Human coronavirus HKU1	HM130745	378	03/22/2007	Human	Homo sapiens	China	genomic RNA	
PUMCH570	Human coronavirus HKU1	HM130737	378	09/06/2005	Human	Homo sapiens	China	genomic RNA	
PUMCH6713	Human coronavirus HKU1	HM130746	378	02/15/2008	Human	Homo sapiens	China	genomic RNA	
PUMCH6767	Human coronavirus HKU1	HM130747	378	02/27/2008	Human	Homo sapiens	China	genomic RNA	
PUMCH6818	Human coronavirus HKU1	HM130748	378	06/04/2008	Human	Homo sapiens	China	genomic RNA	
PUMCH8393	Human coronavirus HKU1	HM130749	378	04/21/2009	Human	Homo sapiens	China	genomic RNA	
QPID04-0001	Human coronavirus HKU1	DQ190472	417	-N/A-	Unknown	-N/A-	Australia	genomic RNA	
QPID04-0020	Human coronavirus HKU1	DQ206699	414	-N/A-	Unknown	-N/A-	Australia	genomic RNA	
QPID04-0022	Human coronavirus HKU1	DQ206693	414	-N/A-	Unknown	-N/A-	Australia	genomic RNA	
QPID04-0023	Human coronavirus HKU1	DQ206694	414	-N/A-	Unknown	-N/A-	Australia	genomic RNA	
QPID04-0024	Human coronavirus HKU1	DQ206695	414	-N/A-	Unknown	-N/A-	Australia	genomic RNA	
QPID04-0025	Human coronavirus HKU1	DQ206696	414	-N/A-	Unknown	-N/A-	Australia	genomic RNA	
QPID04-0026	Human coronavirus HKU1	DQ206697	414	-N/A-	Unknown	-N/A-	Australia	genomic RNA	
QPID04-0031	Human coronavirus HKU1	DQ206698	414	-N/A-	Unknown	-N/A-	Australia	genomic RNA	
QPID04_0022	Human coronavirus HKU1	JQ732200	226	08/02/2004	Human	Homo sapiens	Australia	genomic RNA	
QPID04_0040	Human coronavirus HKU1	JQ732197	226	07/20/2004	Human	Homo sapiens	Australia	genomic RNA	
QPID04_0041	Human coronavirus HKU1	JQ732198	226	07/20/2004	Human	Homo sapiens	Australia	genomic RNA	
QPID04_0042	Human coronavirus HKU1	JQ732199	226	07/22/2004	Human	Homo sapiens	Australia	genomic RNA	
QPID04_0043	Human coronavirus HKU1	JQ732201	226	07/20/2004	Human	Homo sapiens	Australia	genomic RNA	
QPID04_0044	Human coronavirus HKU1	JQ732202	226	07/16/2004	Human	Homo sapiens	Australia	genomic RNA	
SC2521	Human coronavirus HKU1	MK167038	29921	2017	Human	Homo sapiens	USA	genomic RNA	
SC2628	Human coronavirus HKU1	KY983584	29932	2015	Human	Homo sapiens	USA	genomic RNA	
SH-1	Human coronavirus HKU1	KC294427	438	2012	Human	Homo sapiens	China	mRNA	
SH-2	Human coronavirus HKU1	KC294428	438	2012	Human	Homo sapiens	China	mRNA	
SH-3	Human coronavirus HKU1	KC294429	438	2012	Human	Homo sapiens	China	mRNA	
sh3064	Human coronavirus HKU1	KP347636	396	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
SI17244	Human coronavirus HKU1	MH940245	29811	06/04/2017	Human	Homo sapiens	Thailand	genomic RNA	
sloHKU1-1	Human coronavirus HKU1	KF668032	894	04/11/2011	Human	Homo sapiens	Slovenia	genomic RNA	
Tokyo/SGH-15/2014	Human coronavirus HKU1	LC315650	6847	2014	Unknown	-N/A-	Japan	genomic RNA	
Tokyo/SGH-18/2016	Human coronavirus HKU1	LC315651	6948	2016	Unknown	-N/A-	Japan	genomic RNA	
UNKNOWN-AY884001	Human coronavirus HKU1	AY884001	29815	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
