Strain Name	Virus Species	GenBank Accession	Sequence Length	Collection Date	Host	GenBank Host	Country	Mol Type
Kagoshima/4/07	Betacoronavirus 1	AB450914	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Kagoshima/5/07	Betacoronavirus 1	AB450915	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Kagoshima/6/07	Betacoronavirus 1	AB450916	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Kagoshima/7/07	Betacoronavirus 1	AB450917	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Kakegawa	Betacoronavirus 1	AB277098	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Kakegawa	Betacoronavirus 1	AY646095	404	-N/A-	Unknown	-N/A-	Brazil	genomic RNA	
Kakegawa	Betacoronavirus 1	DQ479424	2681	-N/A-	Unknown	-N/A-	Brazil	genomic RNA	
Kakegawa	Betacoronavirus 1	FJ218459	405	1980	Cattle	Bos taurus	Japan	genomic RNA	
Kakegawa	Betacoronavirus 1	FJ218460	258	1980	Cattle	Bos taurus	Japan	genomic RNA	
Kavernino/12/00	Betacoronavirus 1	AY184414	228	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
Kochi/1/04	Betacoronavirus 1	AB450902	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Kochi/2/04	Betacoronavirus 1	AB450903	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Kochi/3/04	Betacoronavirus 1	AB450904	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Kochi/4/04	Betacoronavirus 1	AB450905	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Kochi/5/05	Betacoronavirus 1	AB450906	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Kochi/6/05	Betacoronavirus 1	AB450907	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Kochi/7/06	Betacoronavirus 1	AB450908	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
KOSHKINSK/11/00	Betacoronavirus 1	AY184415	228	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
Kumamoto/1/07	Betacoronavirus 1	AB450909	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Kumamoto/2/07	Betacoronavirus 1	AB450910	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
KWD1	Betacoronavirus 1	AH014866	2423	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
KWD10	Betacoronavirus 1	AH014875	2423	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
KWD2	Betacoronavirus 1	AH014867	2423	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
KWD3	Betacoronavirus 1	AH014868	2423	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
KWD4	Betacoronavirus 1	AH014869	2423	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
KWD5	Betacoronavirus 1	AH014870	2423	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
KWD6	Betacoronavirus 1	AH014871	2423	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
KWD7	Betacoronavirus 1	AH014872	2423	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
KWD8	Betacoronavirus 1	AH014873	2423	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
KWD9	Betacoronavirus 1	AH014874	2423	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
L	Betacoronavirus 1	MK989625	452	02/22/2019	Cattle	cattle	Turkey	genomic RNA	
LYVB	Betacoronavirus 1	AY606205	363	-N/A-	Unknown	-N/A-	Brazil	genomic RNA	
M	Betacoronavirus 1	MK989626	482	2015	Cattle	cattle	Turkey	genomic RNA	
M1_0602	Betacoronavirus 1	JN795153	1038	2006	Cattle	cattle	Sweden	genomic RNA	
M2_0605	Betacoronavirus 1	JN795154	1038	2006	Cattle	cattle	Sweden	genomic RNA	
MC199	Betacoronavirus 1	MH203066	4092	10/2017	Cattle	calf	Viet Nam	genomic RNA	
MC199	Betacoronavirus 1	MK045992	1275	10/2017	Cattle	bovine	Viet Nam	genomic RNA	
MELENKI/11/99	Betacoronavirus 1	AY184416	228	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
Menofyia/2019	Betacoronavirus 1	MN053321	234	04/2019	Cattle	cattle	Egypt	genomic RNA	
Mungyeong1	Betacoronavirus 1	MN650890	836	-N/A-	Unknown	pre-weaned Korean native calf	South Korea	genomic RNA	
Mungyeong2	Betacoronavirus 1	MN650891	836	-N/A-	Unknown	pre-weaned Korean native calf	South Korea	genomic RNA	
N	Betacoronavirus 1	MK989627	1798	09/24/2018	Cattle	cattle	Turkey	genomic RNA	
N1_0511	Betacoronavirus 1	JN795155	1038	2005	Cattle	cattle	Sweden	genomic RNA	
N2_0603	Betacoronavirus 1	JN795156	1038	2006	Cattle	cattle	Sweden	genomic RNA	
N3_0605	Betacoronavirus 1	JN795157	1038	2006	Cattle	cattle	Sweden	genomic RNA	
N4_0903	Betacoronavirus 1	JN795158	1038	2009	Cattle	cattle	Sweden	genomic RNA	
NA226	Betacoronavirus 1	MK045994	1275	12/2017	Cattle	bovine	Viet Nam	genomic RNA	
NA226	Betacoronavirus 1	MK046003	4092	12/2017	Cattle	bovine	Viet Nam	genomic RNA	
Nazaktabar-1/2010/Iran-Zanjan	Betacoronavirus 1	MH371012	1065	2010	-N/A-	bovine calf	Iran	genomic RNA	
Nazaktabar-1/2010/Iran-Zanjan	Betacoronavirus 1	MH424416	398	2010	Cattle	bovine	Iran	genomic RNA	
Nazaktabar-2/2009/Iran-Fars	Betacoronavirus 1	MH371011	1069	2009	-N/A-	bovine calf	Iran	genomic RNA	
Nazaktabar-2/2009/Iran-Fars	Betacoronavirus 1	MH424417	398	2009	Cattle	bovine	Iran	genomic RNA	
Nazaktabar-3/2009/Iran-Fars	Betacoronavirus 1	MH396489	1069	2009	Cattle	bovine	Iran	genomic RNA	
Nazaktabar-3/2009/Iran-Fars	Betacoronavirus 1	MH424418	398	2009	Cattle	bovine	Iran	genomic RNA	
ND65	Betacoronavirus 1	MH197039	4092	04/07/2017	Cattle	calf	Viet Nam	genomic RNA	
ND65	Betacoronavirus 1	MH203059	1275	04/2017	Cattle	calf	Viet Nam	genomic RNA	
Nebraska (NVSL)	Betacoronavirus 1	JQ741969	1026	2012	Unknown	-N/A-	USA	genomic RNA	
Nyala 10/01	Betacoronavirus 1	HM573325	1275	01/2010	Antelope	nyala	South Korea	genomic RNA	
Nyala 10/01	Betacoronavirus 1	HM573330	4092	01/2010	Antelope	nyala	South Korea	genomic RNA	
O	Betacoronavirus 1	MK989628	2265	2016	Cattle	cattle	Turkey	genomic RNA	
O	Betacoronavirus 1	MK989629	1294	2016	Cattle	cattle	Turkey	genomic RNA	
ODICOVO/06/00	Betacoronavirus 1	AY184417	228	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
Ontario BCO.43277	Betacoronavirus 1	AH010241	4663	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
Ontario BCO.44175	Betacoronavirus 1	AH010063	4663	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
Osaka/1/06	Betacoronavirus 1	AB277152	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Osaka/2/06	Betacoronavirus 1	AB277153	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
OSU-1776NS-09	Betacoronavirus 1	JQ741955	1026	2009	Unknown	-N/A-	USA	genomic RNA	
OSU-3166NS-09	Betacoronavirus 1	JX536392	1052	2009	Cattle	bovine	USA	genomic RNA	
OSU-3167NS-09	Betacoronavirus 1	JQ741960	1026	2009	Unknown	-N/A-	USA	genomic RNA	
OSU-3171NS-09	Betacoronavirus 1	JQ741954	1026	2009	Unknown	-N/A-	USA	genomic RNA	
OSU-3174NS-09	Betacoronavirus 1	JQ741962	1026	2009	Unknown	-N/A-	USA	genomic RNA	
OSU-3175NS-09	Betacoronavirus 1	JQ741958	1026	2009	Unknown	-N/A-	USA	genomic RNA	
OSU-43NS-08	Betacoronavirus 1	JQ741950	1026	2008	Unknown	-N/A-	USA	genomic RNA	
OSU-538BAL-09	Betacoronavirus 1	JQ741966	1026	2009	Unknown	-N/A-	USA	genomic RNA	
OSU-542BAL-09	Betacoronavirus 1	JQ741967	1026	2009	Unknown	-N/A-	USA	genomic RNA	
OSU-554BAL-09	Betacoronavirus 1	JQ741965	1026	2009	Unknown	-N/A-	USA	genomic RNA	
OSU-576BAL-09	Betacoronavirus 1	JQ741968	1026	2009	Unknown	-N/A-	USA	genomic RNA	
OSU-665NS-09	Betacoronavirus 1	JQ741952	1026	2009	Unknown	-N/A-	USA	genomic RNA	
OSU-717NS-11	Betacoronavirus 1	JQ741951	1026	2011	Unknown	-N/A-	USA	genomic RNA	
OSU-746BAL-09	Betacoronavirus 1	JQ741959	1026	2009	Unknown	-N/A-	USA	genomic RNA	
OSU-747BAL-09	Betacoronavirus 1	JQ741961	1026	2009	Unknown	-N/A-	USA	genomic RNA	
OSU-776NS-09	Betacoronavirus 1	JQ741963	1026	2009	Unknown	-N/A-	USA	genomic RNA	
OSU-776NS-11	Betacoronavirus 1	JQ741953	1026	2011	Unknown	-N/A-	USA	genomic RNA	
OSU-778NS-09	Betacoronavirus 1	JQ741956	1026	2009	Unknown	-N/A-	USA	genomic RNA	
OSU-787NS-09	Betacoronavirus 1	JQ741957	1026	2009	Unknown	-N/A-	USA	genomic RNA	
OSU-834NS-09	Betacoronavirus 1	JQ741964	1026	2009	Unknown	-N/A-	USA	genomic RNA	
OSU-AN3-00	Betacoronavirus 1	JQ741947	1026	2000	Unknown	-N/A-	USA	genomic RNA	
OSU-AN5-00	Betacoronavirus 1	JQ741949	1026	2000	Unknown	-N/A-	USA	genomic RNA	
OSU-TN10-99	Betacoronavirus 1	JQ741948	1026	1999	Unknown	-N/A-	USA	genomic RNA	
P	Betacoronavirus 1	MK989630	1038	2016	Cattle	cattle	Turkey	genomic RNA	
P	Betacoronavirus 1	MK989631	441	2016	Cattle	cattle	Turkey	genomic RNA	
P	Betacoronavirus 1	MK989632	1338	2016	Cattle	cattle	Turkey	genomic RNA	
P1_0902	Betacoronavirus 1	JN795159	1038	2009	Cattle	cattle	Sweden	genomic RNA	
PA11	Betacoronavirus 1	KT381468	521	10/22/2013	Unknown	-N/A-	Brazil	genomic RNA	
PB2	Betacoronavirus 1	KT381469	521	12/03/2013	Unknown	-N/A-	Brazil	genomic RNA	
PB3	Betacoronavirus 1	KT381480	300	12/03/2013	Unknown	-N/A-	Brazil	genomic RNA	
PB9	Betacoronavirus 1	KT381470	521	12/03/2013	Unknown	-N/A-	Brazil	genomic RNA	
PD1	Betacoronavirus 1	KT381471	521	05/07/2014	Unknown	-N/A-	Brazil	genomic RNA	
PD4	Betacoronavirus 1	KT381472	521	05/07/2014	Unknown	-N/A-	Brazil	genomic RNA	
PD9	Betacoronavirus 1	KT381481	300	10/22/2013	Unknown	-N/A-	Brazil	genomic RNA	
PE4	Betacoronavirus 1	KT381473	521	08/04/2014	Unknown	-N/A-	Brazil	genomic RNA	
PE5	Betacoronavirus 1	KT381474	521	08/04/2014	Unknown	-N/A-	Brazil	genomic RNA	
PE7	Betacoronavirus 1	KT381475	521	08/04/2014	Unknown	-N/A-	Brazil	genomic RNA	
PE9	Betacoronavirus 1	KT381476	521	08/04/2014	Unknown	-N/A-	Brazil	genomic RNA	
PF1	Betacoronavirus 1	KT381477	521	09/30/2014	Unknown	-N/A-	Brazil	genomic RNA	
PF2	Betacoronavirus 1	KT381478	521	09/30/2014	Unknown	-N/A-	Brazil	genomic RNA	
PF4	Betacoronavirus 1	KT381479	521	09/30/2014	Unknown	-N/A-	Brazil	genomic RNA	
PG11	Betacoronavirus 1	KT381482	300	09/30/2014	Unknown	-N/A-	Brazil	genomic RNA	
PL83	Betacoronavirus 1	MH197038	4092	04/18/2017	Cattle	calf	Viet Nam	genomic RNA	
PL83	Betacoronavirus 1	MH203060	1275	04/2017	Cattle	calf	Viet Nam	genomic RNA	
PL84	Betacoronavirus 1	MH197037	4092	04/18/2017	Cattle	calf	Viet Nam	genomic RNA	
PL84	Betacoronavirus 1	MH203061	1275	04/2017	Cattle	calf	Viet Nam	genomic RNA	
QHGC1	Betacoronavirus 1	MH475913	774	04/18/2018	Yak	yak	China	genomic RNA	
QHGC1	Betacoronavirus 1	MH475914	1272	04/18/2018	Yak	yak	China	genomic RNA	
QHGC1	Betacoronavirus 1	MH475915	1344	04/18/2018	Yak	yak	China	genomic RNA	
Quebec BCQ.1523	Betacoronavirus 1	AH010062	4663	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
Quebec BCQ.7373	Betacoronavirus 1	AH010061	4663	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
R	Betacoronavirus 1	MK989633	996	2016	Cattle	cattle	Turkey	genomic RNA	
R	Betacoronavirus 1	MK989634	976	2016	Cattle	cattle	Turkey	genomic RNA	
Ranjbar-Alborz	Betacoronavirus 1	MK932861	669	2018	Cattle	calf	Iran	genomic RNA	
Ranjbar-Alborz	Betacoronavirus 1	MK932866	997	02/13/2019	Cattle	calf	Iran	genomic RNA	
Ranjbar-Alborz41	Betacoronavirus 1	MK932863	997	09/15/2018	Cattle	calf	Iran	genomic RNA	
Ranjbar-Eslamshahr	Betacoronavirus 1	MK932864	997	12/10/2018	Cattle	calf	Iran	genomic RNA	
Ranjbar-Ghazvin19	Betacoronavirus 1	MK932862	1118	09/15/2018	Cattle	calf	Iran	genomic RNA	
Ranjbar-Ghoom56	Betacoronavirus 1	MK932865	997	02/13/2019	Cattle	calf	Iran	genomic RNA	
RVLC10	Betacoronavirus 1	KF272914	464	-N/A-	Cattle	cattle	Ireland	genomic RNA	
RVLC10	Betacoronavirus 1	KF272915	702	-N/A-	Cattle	cattle	Ireland	genomic RNA	
RVLC10	Betacoronavirus 1	KF272918	1165	-N/A-	Cattle	cattle	Ireland	genomic RNA	
RVLC4	Betacoronavirus 1	KF272908	464	-N/A-	Cattle	cattle	Ireland	genomic RNA	
RVLC4	Betacoronavirus 1	KF272909	702	-N/A-	Cattle	cattle	Ireland	genomic RNA	
RVLC4	Betacoronavirus 1	KF272916	1165	-N/A-	Cattle	cattle	Ireland	genomic RNA	
RVLC7	Betacoronavirus 1	KF272910	464	-N/A-	Cattle	cattle	Ireland	genomic RNA	
RVLC7	Betacoronavirus 1	KF272911	702	-N/A-	Cattle	cattle	Ireland	genomic RNA	
RVLC7	Betacoronavirus 1	KF272917	1165	-N/A-	Cattle	cattle	Ireland	genomic RNA	
RVLC7	Betacoronavirus 1	KF272919	4092	-N/A-	Cattle	cattle	Ireland	genomic RNA	
RVLC9	Betacoronavirus 1	KF272912	464	-N/A-	Cattle	cattle	Ireland	genomic RNA	
RVLC9	Betacoronavirus 1	KF272913	702	-N/A-	Cattle	cattle	Ireland	genomic RNA	
RVSRI19	Betacoronavirus 1	MK559492	1125	10/20/2018	Cattle	calf	Iran	genomic RNA	
Samrye6	Betacoronavirus 1	MN650885	836	-N/A-	Unknown	pre-weaned Korean native calf	South Korea	genomic RNA	
Sangju5	Betacoronavirus 1	MN650887	836	-N/A-	Unknown	pre-weaned Korean native calf	South Korea	genomic RNA	
Saveh-IRIB-2017	Betacoronavirus 1	MG386280	602	2016	Cattle	cattle	Iran	genomic RNA	
SHG-1	Betacoronavirus 1	LC494154	30936	09/2014	Unknown	-N/A-	Japan	genomic RNA	
SHG-2	Betacoronavirus 1	LC494155	30938	09/2014	Unknown	-N/A-	Japan	genomic RNA	
SHG-3	Betacoronavirus 1	LC494156	30942	12/2014	Unknown	-N/A-	Japan	genomic RNA	
SHG-4	Betacoronavirus 1	LC494157	30953	10/2015	Unknown	-N/A-	Japan	genomic RNA	
SHG-5	Betacoronavirus 1	LC494158	30950	06/2016	Unknown	-N/A-	Japan	genomic RNA	
SHG-6	Betacoronavirus 1	LC494159	30947	10/2017	Unknown	-N/A-	Japan	genomic RNA	
Shimane/1/00	Betacoronavirus 1	AB450879	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Shimane/10/03	Betacoronavirus 1	AB450888	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Shimane/11/03	Betacoronavirus 1	AB450889	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Shimane/12/03	Betacoronavirus 1	AB450890	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Shimane/13/03	Betacoronavirus 1	AB450891	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Shimane/14/05	Betacoronavirus 1	AB450892	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Shimane/15/05	Betacoronavirus 1	AB450893	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Shimane/16/05	Betacoronavirus 1	AB450894	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Shimane/17/05	Betacoronavirus 1	AB450895	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Shimane/18/05	Betacoronavirus 1	AB450896	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Shimane/19/05	Betacoronavirus 1	AB450897	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Shimane/2/00	Betacoronavirus 1	AB450880	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Shimane/20/06	Betacoronavirus 1	AB450898	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Shimane/21/06	Betacoronavirus 1	AB450899	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Shimane/22/06	Betacoronavirus 1	AB450900	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Shimane/23/07	Betacoronavirus 1	AB450901	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Shimane/3/00	Betacoronavirus 1	AB450881	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Shimane/4/00	Betacoronavirus 1	AB450882	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Shimane/5/01	Betacoronavirus 1	AB450883	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Shimane/6/02	Betacoronavirus 1	AB450884	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Shimane/7/02	Betacoronavirus 1	AB450885	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Shimane/8/03	Betacoronavirus 1	AB450886	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Shimane/9/03	Betacoronavirus 1	AB450887	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
SHUYA/04/99	Betacoronavirus 1	AY184419	228	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
Sitatunga 10/01	Betacoronavirus 1	HM573324	1275	01/2010	Antelope	sitatunga	South Korea	genomic RNA	
Sitatunga 10/01	Betacoronavirus 1	HM573329	4092	01/2010	Antelope	sitatunga	South Korea	genomic RNA	
SK21735	Betacoronavirus 1	KY612619	2304	-N/A-	Cattle	cattle	Slovakia	genomic RNA	
SKcrevo	Betacoronavirus 1	KY612620	2304	-N/A-	Cattle	cattle	Slovakia	genomic RNA	
SOBINKA/01/01	Betacoronavirus 1	AY184418	228	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
SOBINKA/04/00	Betacoronavirus 1	AY184420	228	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
STAVROVO/03/98	Betacoronavirus 1	AY184421	228	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
SUN5	Betacoronavirus 1	EU401978	1275	-N/A-	Unknown	-N/A-	South Korea	genomic RNA	
SUN5	Betacoronavirus 1	EU401984	1347	-N/A-	Unknown	-N/A-	South Korea	genomic RNA	
SUN5	Betacoronavirus 1	EU401988	4092	-N/A-	Unknown	-N/A-	South Korea	genomic RNA	
SUZDAL\12\01	Betacoronavirus 1	AY184422	228	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
SWE/02-1	Betacoronavirus 1	KF169909	4092	2002	Cattle	calf	Sweden	genomic RNA	
SWE/02-2	Betacoronavirus 1	KF169910	4092	2002	Cattle	calf	Sweden	genomic RNA	
SWE/02-3	Betacoronavirus 1	KF169911	4092	2002	Cattle	calf	Sweden	genomic RNA	
SWE/02-4	Betacoronavirus 1	KF169912	4092	2002	Cattle	calf	Sweden	genomic RNA	
SWE/AC/06-1	Betacoronavirus 1	KF169922	4092	2006	Cattle	cattle	Sweden	genomic RNA	
SWE/AC/08-1	Betacoronavirus 1	KF169931	4092	2008	Cattle	cattle	Sweden	genomic RNA	
SWE/C/07-2	Betacoronavirus 1	KF169926	4092	2007	Cattle	cattle	Sweden	genomic RNA	
SWE/C/07-6	Betacoronavirus 1	KF169930	4092	2007	Cattle	cattle	Sweden	genomic RNA	
SWE/C/08-2	Betacoronavirus 1	KF169932	4092	2008	Cattle	cattle	Sweden	genomic RNA	
SWE/C/09-2	Betacoronavirus 1	KF169935	4092	2009	Cattle	calf	Sweden	genomic RNA	
SWE/C/92	Betacoronavirus 1	KF169908	4092	1992	Cattle	cattle	Sweden	genomic RNA	
SWE/I/07-3	Betacoronavirus 1	KF169927	4092	2007	Cattle	cattle	Sweden	genomic RNA	
SWE/I/07-4	Betacoronavirus 1	KF169928	4092	2007	Cattle	cattle	Sweden	genomic RNA	
SWE/I/07-5	Betacoronavirus 1	KF169929	4092	2007	Cattle	cattle	Sweden	genomic RNA	
SWE/I/08-3	Betacoronavirus 1	KF169933	4092	2008	Cattle	cattle	Sweden	genomic RNA	
SWE/M/06-3*	Betacoronavirus 1	KF169923	4092	05/2006	Cattle	cattle	Sweden	genomic RNA	
SWE/M/06-4*	Betacoronavirus 1	KF169924	4092	05/2006	Cattle	cattle	Sweden	genomic RNA	
SWE/M/10-1	Betacoronavirus 1	KF169937	4092	2010	Cattle	calf	Sweden	genomic RNA	
SWE/M/10-2	Betacoronavirus 1	KF169938	4092	2010	Cattle	calf	Sweden	genomic RNA	
SWE/N/05-1	Betacoronavirus 1	KF169920	4092	2005	Cattle	calf	Sweden	genomic RNA	
SWE/N/05-2	Betacoronavirus 1	KF169921	4092	2005	Cattle	calf	Sweden	genomic RNA	
SWE/P/09-1	Betacoronavirus 1	KF169934	4092	2009	Cattle	cattle	Sweden	genomic RNA	
SWE/P/10-4	Betacoronavirus 1	KF169940	4092	2010	Cattle	calf	Sweden	genomic RNA	
SWE/U/09-3*	Betacoronavirus 1	KF169936	4092	07/2009	Cattle	calf	Sweden	genomic RNA	
SWE/Y/10-3	Betacoronavirus 1	KF169939	4092	2010	Cattle	calf	Sweden	genomic RNA	
SWE/Z/07-1	Betacoronavirus 1	KF169925	4092	2007	Cattle	cattle	Sweden	genomic RNA	
TCG-1	Betacoronavirus 1	LC494164	30951	11/2006	Unknown	-N/A-	Japan	genomic RNA	
TCG-10	Betacoronavirus 1	LC494165	30926	12/2008	Unknown	-N/A-	Japan	genomic RNA	
TCG-11	Betacoronavirus 1	LC494166	30934	12/2008	Unknown	-N/A-	Japan	genomic RNA	
TCG-12	Betacoronavirus 1	LC494167	30942	12/2008	Unknown	-N/A-	Japan	genomic RNA	
TCG-13	Betacoronavirus 1	LC494168	30950	01/2009	Unknown	-N/A-	Japan	genomic RNA	
TCG-14	Betacoronavirus 1	LC494169	30945	03/2009	Unknown	-N/A-	Japan	genomic RNA	
TCG-15	Betacoronavirus 1	LC494170	30938	01/2010	Unknown	-N/A-	Japan	genomic RNA	
TCG-16	Betacoronavirus 1	LC494171	30936	01/2010	Unknown	-N/A-	Japan	genomic RNA	
TCG-17	Betacoronavirus 1	LC494176	30945	2016	Unknown	-N/A-	Japan	genomic RNA	
TCG-18	Betacoronavirus 1	LC494175	30941	2016	Unknown	-N/A-	Japan	genomic RNA	
TCG-19	Betacoronavirus 1	LC494178	30949	12/2016	Unknown	-N/A-	Japan	genomic RNA	
TCG-2	Betacoronavirus 1	LC494163	30923	12/2006	Unknown	-N/A-	Japan	genomic RNA	
TCG-20	Betacoronavirus 1	LC494179	30936	12/2016	Unknown	-N/A-	Japan	genomic RNA	
TCG-21	Betacoronavirus 1	LC494180	30939	12/2016	Unknown	-N/A-	Japan	genomic RNA	
TCG-22	Betacoronavirus 1	LC494181	30923	12/2016	Unknown	-N/A-	Japan	genomic RNA	
TCG-23	Betacoronavirus 1	LC494182	30940	12/2016	Unknown	-N/A-	Japan	genomic RNA	
TCG-24	Betacoronavirus 1	LC494183	30936	12/2017	Unknown	-N/A-	Japan	genomic RNA	
TCG-25	Betacoronavirus 1	LC494184	30940	12/2017	Unknown	-N/A-	Japan	genomic RNA	
TCG-26	Betacoronavirus 1	LC494185	30942	12/2017	Unknown	-N/A-	Japan	genomic RNA	
TCG-27	Betacoronavirus 1	LC494186	30942	12/2017	Unknown	-N/A-	Japan	genomic RNA	
TCG-28	Betacoronavirus 1	LC494187	30940	12/2017	Unknown	-N/A-	Japan	genomic RNA	
TCG-29	Betacoronavirus 1	LC494188	30942	12/2017	Unknown	-N/A-	Japan	genomic RNA	
TCG-3	Betacoronavirus 1	LC494162	30936	12/2006	Unknown	-N/A-	Japan	genomic RNA	
TCG-30	Betacoronavirus 1	LC494189	30937	12/2017	Unknown	-N/A-	Japan	genomic RNA	
TCG-31	Betacoronavirus 1	LC494190	30898	12/2017	Unknown	-N/A-	Japan	genomic RNA	
TCG-32	Betacoronavirus 1	LC494191	30942	12/2017	Unknown	-N/A-	Japan	genomic RNA	
TCG-33	Betacoronavirus 1	LC494192	30942	12/2017	Unknown	-N/A-	Japan	genomic RNA	
TCG-4	Betacoronavirus 1	LC494160	30954	11/2007	Unknown	-N/A-	Japan	genomic RNA	
TCG-5	Betacoronavirus 1	LC494161	30940	12/2007	Unknown	-N/A-	Japan	genomic RNA	
TCG-6	Betacoronavirus 1	LC494172	30952	12/2007	Unknown	-N/A-	Japan	genomic RNA	
TCG-7	Betacoronavirus 1	LC494173	30951	01/2008	Unknown	-N/A-	Japan	genomic RNA	
TCG-8	Betacoronavirus 1	LC494174	30951	01/2008	Unknown	-N/A-	Japan	genomic RNA	
TCG-9	Betacoronavirus 1	LC494177	30936	03/2008	Unknown	-N/A-	Japan	genomic RNA	
Teh-IRIBR-2017	Betacoronavirus 1	MG386279	370	2016	Cattle	cattle	Iran	genomic RNA	
Tochigi/1/01	Betacoronavirus 1	AB277129	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Tochigi/10/02	Betacoronavirus 1	AB277137	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Tochigi/11/03	Betacoronavirus 1	AB277138	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Tochigi/2/01	Betacoronavirus 1	AB277130	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Tochigi/4/02	Betacoronavirus 1	AB277131	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Tochigi/5/02	Betacoronavirus 1	AB277132	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Tochigi/6/02	Betacoronavirus 1	AB277133	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Tochigi/7/02	Betacoronavirus 1	AB277134	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Tochigi/8/02	Betacoronavirus 1	AB277135	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Tochigi/9/02	Betacoronavirus 1	AB277136	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
Toyama/1/08	Betacoronavirus 1	AB450856	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
TUR1	Betacoronavirus 1	MK787438	391	10/10/2016	Cattle	bovine	Turkey	genomic RNA	
TUR2	Betacoronavirus 1	MK787439	346	10/10/2016	Cattle	bovine	Turkey	genomic RNA	
